ForeCyt Compensation Matrix, File Version 1.0, Export On 11/9/2020, ForeCyt Version 8.1.7524, Experiment: 2019-11-08 pSTAT5 timecourse monomeric IL2s, Analysis: Analysis 1, Plate: Plate 0002
VL4-H,VL1-H,1.2827
BL1-H,VL1-H,0.0514
BL3-H,VL1-H,0
RL1-H,VL1-H,0
VL1-H,VL4-H,1.1870
BL1-H,VL4-H,0.0005
BL3-H,VL4-H,6.4176
RL1-H,VL4-H,0.5324
VL1-H,BL1-H,0
VL4-H,BL1-H,0
BL3-H,BL1-H,5.6102
RL1-H,BL1-H,0
VL1-H,BL3-H,0.0147
VL4-H,BL3-H,13.4638
BL1-H,BL3-H,0.2556
RL1-H,BL3-H,0.2346
VL1-H,RL1-H,0.2171
VL4-H,RL1-H,0
BL1-H,RL1-H,0
BL3-H,RL1-H,0.3513
