Mean,Dose,Ligand,Date,Variance,alphStatCov,Kurtosis,Time,Skew,Cell,Bivalent
36945.069000099546,84.0,IL2,3/15/2019,386128165.9107983,-593907.0861631887,-0.11053636827139846,4.0,0.12620348726191008,Treg,0.0
41343.93700233329,28.0,IL2,3/15/2019,461312788.0284083,-203340.79364660464,-0.31502471529166876,4.0,0.03233788402429435,Treg,0.0
45979.00706795948,9.333333,IL2,3/15/2019,518130884.2271894,-128498.2648247482,-0.354637895988533,4.0,-0.2115291502135114,Treg,0.0
47013.26842359915,3.111,IL2,3/15/2019,523497919.06463164,-67745.63145731928,-0.4089556520213167,4.0,-0.3354708205279717,Treg,0.0
46448.80566213562,1.037037,IL2,3/15/2019,533579396.56591153,153525.47753489227,-0.393418646366932,4.0,-0.32359760652233105,Treg,0.0
44272.70833662281,0.345679,IL2,3/15/2019,577916389.5109031,340496.3928497415,-0.6454513608481167,4.0,-0.22324530443585258,Treg,0.0
39450.85437886294,0.115226,IL2,3/15/2019,503979571.1301623,344314.10514863493,-0.47017109413144365,4.0,-0.08916513982011981,Treg,0.0
28567.842350892588,0.038409,IL2,3/15/2019,506800517.87231094,602139.1866066534,-0.7298837972875929,4.0,0.29610348750722193,Treg,0.0
18062.88226025029,0.012803,IL2,3/15/2019,443894587.0175519,523194.69493093103,0.05470342446531573,4.0,0.840416363553348,Treg,0.0
10585.726740126061,0.004268,IL2,3/15/2019,308105838.4146173,793569.2142134204,1.2694309855413834,4.0,1.296436671387105,Treg,0.0
4936.845360616299,0.001423,IL2,3/15/2019,202638243.83731583,701556.9553270369,2.958097870753207,4.0,1.7877628698211507,Treg,0.0
1015.737324932581,0.000474,IL2,3/15/2019,98962940.74402875,457998.0449008735,7.808241162453848,4.0,2.494514312580041,Treg,0.0
55250.820179842005,84.0,IL2,3/15/2019,556686390.323592,230412.22805700885,-0.19450592859213822,2.0,-0.5996953329668541,Treg,0.0
54456.08440035196,28.0,IL2,3/15/2019,641954535.3565606,300323.4833686623,-0.3243027826955567,2.0,-0.6640019315685848,Treg,0.0
56401.85760593301,9.333333,IL2,3/15/2019,615980472.486155,-173615.05183743735,-0.10931351852116133,2.0,-0.7570847359110413,Treg,0.0
56251.97979469275,3.111,IL2,3/15/2019,608573919.1462545,-227499.16986799723,-0.16101104202171834,2.0,-0.7090059767922283,Treg,0.0
53650.33317784336,1.037037,IL2,3/15/2019,595396897.441819,136150.51517024264,-0.24630022729276968,2.0,-0.6649543515218599,Treg,0.0
50448.16751205981,0.345679,IL2,3/15/2019,685086500.3376597,447437.5477436887,-0.500207594269888,2.0,-0.6248021508391626,Treg,0.0
47971.89327352785,0.115226,IL2,3/15/2019,670794798.3875852,795053.2984534578,-0.627780487053891,2.0,-0.5049047529525515,Treg,0.0
40699.41291121066,0.038409,IL2,3/15/2019,768603142.3099619,883413.7336439539,-1.1423043242327926,2.0,-0.22248636102217972,Treg,0.0
31374.188635998307,0.012803,IL2,3/15/2019,761525838.1374563,1669030.528406578,-1.064292158519556,2.0,0.28648575982008007,Treg,0.0
18138.081495833543,0.004268,IL2,3/15/2019,568052291.3960595,1254178.3076734724,-0.22997998620158322,2.0,0.8974854657334427,Treg,0.0
10679.752993645925,0.001423,IL2,3/15/2019,337386039.1655403,826387.6272632357,1.4641486473258114,2.0,1.3971847305002998,Treg,0.0
