Variance,Mean,Time,Ligand,Kurtosis,Date,Cell,Dose,Skew
517310080.0,19289.037,4.0,IL2,137.69214,2019-3-19,Tcells,84.0,4.572414
608444800.0,21765.852,4.0,IL2,1.3898306,2019-3-19,Tcells,28.0,1.2339048
2544943400.0,23847.07,4.0,IL2,14146.919,2019-3-19,Tcells,9.333333,101.9108
629319300.0,21974.469,4.0,IL2,1.7800245,2019-3-19,Tcells,3.111,1.3433882
477431550.0,15225.787,4.0,IL2,4.366717,2019-3-19,Tcells,1.037037,2.0165918
411606080.0,11493.62,4.0,IL2,5.8341007,2019-3-19,Tcells,0.345679,2.3669157
257585680.0,6866.1084,4.0,IL2,52.73433,2019-3-19,Tcells,0.115226,4.1589894
106547096.0,2988.9375,4.0,IL2,161.60916,2019-3-19,Tcells,0.038409,7.0301075
42316124.0,1109.3726,4.0,IL2,340.68265,2019-3-19,Tcells,0.012803,11.085583
3701366000.0,825.16113,4.0,IL2,32335.287,2019-3-19,Tcells,0.004268,179.32428
1954685700.0,473.5935,4.0,IL2,21841.465,2019-3-19,Tcells,0.001423,143.78908
7126140.5,0.0,4.0,IL2,106.305534,2019-3-19,Tcells,0.000474,7.5403576
435473660.0,16374.072,4.0,IL2,150.8472,2019-3-19,T-regs,84.0,5.4110065
460988060.0,17335.598,4.0,IL2,2.0027199,2019-3-19,T-regs,28.0,1.3786159
5439667000.0,19077.42,4.0,IL2,8172.8193,2019-3-19,T-regs,9.333333,85.95638
209138900.0,17512.873,4.0,IL2,0.96122074,2019-3-19,T-regs,3.111,0.68416905
92426430.0,12621.281,4.0,IL2,1.4698586,2019-3-19,T-regs,1.037037,0.73747796
225995180.0,8544.198,4.0,IL2,15.4862385,2019-3-19,T-regs,0.345679,3.719838
25819548.0,1546.8145,4.0,IL2,12.930188,2019-3-19,T-regs,0.115226,3.2696242
17774110.0,343.42188,4.0,IL2,28.954739,2019-3-19,T-regs,0.038409,5.13397
3535378.2,0.0,4.0,IL2,1.651257,2019-3-19,T-regs,0.012803,1.0188844
4524802.5,199.52441,4.0,IL2,6.563939,2019-3-19,T-regs,0.004268,1.6431541
3339600.2,87.83789,4.0,IL2,1.8436799,2019-3-19,T-regs,0.001423,0.98516303
3462858.2,70.94141,4.0,IL2,2.8209367,2019-3-19,T-regs,0.000474,1.1711565
494939680.0,18516.197,4.0,IL2,155.82095,2019-3-19,T-helper,84.0,4.7955413
429210780.0,17967.549,4.0,IL2,1.4181099,2019-3-19,T-helper,28.0,1.2584503
490960600.0,19422.521,4.0,IL2,1.0195723,2019-3-19,T-helper,9.333333,1.1912619
341408700.0,15613.811,4.0,IL2,5.8400316,2019-3-19,T-helper,3.111,1.8402238
226472270.0,11358.521,4.0,IL2,5.411792,2019-3-19,T-helper,1.037037,2.1137009
469551550.0,11528.477,4.0,IL2,9.37988,2019-3-19,T-helper,0.345679,2.9353843
293790460.0,5126.8286,4.0,IL2,27.807331,2019-3-19,T-helper,0.115226,5.1007543
116558170.0,2860.8423,4.0,IL2,22.990915,2019-3-19,T-helper,0.038409,4.684412
19096662.0,762.42944,4.0,IL2,74.39382,2019-3-19,T-helper,0.012803,8.121351
1833862.4,0.0,4.0,IL2,1.937293,2019-3-19,T-helper,0.004268,1.1879015
