Cell Type,Receptor,Mean,Variance,Skew,Date,Plate
Treg,CD25,3197.64566,9492273.945,2.935688321,23-Apr,1
Treg,CD25,2886.077355,7944777.45,3.163557183,23-Apr,2
Treg,CD25,4209.497355,15605988.57,2.372695855,26-Apr,1
Treg,CD25,5080.894871,22223247.13,2.400415865,26-Apr,2
Treg,CD122,1714.988446,2603217.34,3.095447124,23-Apr,1
Treg,CD122,1915.577489,5701204.145,18.22047425,23-Apr,2
Treg,CD122,2003.906229,2596359.5,2.403879729,26-Apr,1
Treg,CD122,2076.921989,2710103.232,1.688931035,26-Apr,2
Treg,CD132,2038.90348,933935265.3,102.9302836,23-Apr,1
Treg,CD132,2880.162244,2298383580,95.02784176,23-Apr,2
Treg,CD132,1992.772602,232922123.7,55.54953223,26-Apr,1
Treg,CD132,1400.179268,15071164.32,13.65176347,26-Apr,2
Thelper,CD25,435.8685767,294151.6727,3.023269515,23-Apr,1
Thelper,CD25,403.7998047,251299.192,2.940499146,23-Apr,2
Thelper,CD25,552.050474,409270.4851,2.475965713,26-Apr,1
Thelper,CD25,704.0020532,633382.5916,2.228855732,26-Apr,2
Thelper,CD122,2249.5107,4163946.057,2.414148344,23-Apr,1
Thelper,CD122,2387.914229,132361008.7,225.6036289,23-Apr,2
Thelper,CD122,2371.112309,3537448.985,3.751174586,26-Apr,1
Thelper,CD122,2503.733807,35369828.33,225.8611309,26-Apr,2
Thelper,CD132,1537.750556,285578448.4,303.0336179,23-Apr,1
Thelper,CD132,2320.488533,1970077202,213.8418653,23-Apr,2
Thelper,CD132,1498.409755,966564204.1,220.806817,26-Apr,1
Thelper,CD132,1103.802794,77478670.02,249.9484029,26-Apr,2
NK,CD25,85.66020349,27591.13016,34.98656752,23-Apr,1
NK,CD25,179.1759375,55366693.13,110.2666459,23-Apr,2
NK,CD25,107.8727143,362742.7688,68.55188301,26-Apr,1
NK,CD25,105.5098499,104165.5375,29.89227707,26-Apr,2
NK,CD122,3125.765977,30320395.85,3.097814354,23-Apr,1
NK,CD122,5103.271452,72947933.64,15.52638726,23-Apr,2
NK,CD122,3011.225571,23728091.47,15.92749326,26-Apr,1
NK,CD122,4798.58868,69366469.34,12.25107982,26-Apr,2
NK,CD132,1070.348931,41663062.49,45.18425249,23-Apr,1
NK,CD132,1260.293658,203998859.3,75.35312267,23-Apr,2
NK,CD132,1262.852328,598798717.3,113.1182753,26-Apr,1
NK,CD132,989.6267651,61264869.46,69.73912796,26-Apr,2
CD8,CD25,167.1810401,49534.21915,17.28001871,23-Apr,1
CD8,CD25,273.6152342,50499113.13,66.55531815,23-Apr,2
CD8,CD25,222.0110514,71477.20371,19.28381033,26-Apr,1
CD8,CD25,340.842204,148969077.5,165.0772628,26-Apr,2
CD8,CD122,2645.209144,5809424.602,4.057890133,23-Apr,1
CD8,CD122,2747.653181,7857097.735,11.95583006,23-Apr,2
CD8,CD122,3544.408007,7807669.029,1.222541289,26-Apr,1
CD8,CD122,3523.634041,29707229.69,111.1805122,26-Apr,2
CD8,CD132,1486.022094,210829099.6,144.5067826,23-Apr,1
CD8,CD132,1876.684849,458071662.3,112.6673599,23-Apr,2
CD8,CD132,1797.150021,2508650214,196.6148518,26-Apr,1
CD8,CD132,1314.092891,95029902.85,165.4398864,26-Apr,2
