Dose,Mean,Time,Kurtosis,Cell,Skew,Date,Variance,Ligand
84.0,24666.947,1.0,0.7462628,Thelper,0.8819713,2019-3-19,505255740.0,IL2
28.0,10452.82,1.0,3.3520021,Thelper,1.703883,2019-3-19,179394140.0,IL2
9.333333,9270.88,1.0,3.4914646,Thelper,1.7087919,2019-3-19,124059290.0,IL2
3.111,13061.029,1.0,2.4413004,Thelper,1.6434666,2019-3-19,326445760.0,IL2
1.037037,8323.6,1.0,31.6372,Thelper,4.593943,2019-3-19,338016320.0,IL2
0.345679,4601.45,1.0,10.805651,Thelper,3.2413068,2019-3-19,126380584.0,IL2
0.115226,994.7959,1.0,26.197918,Thelper,4.5324173,2019-3-19,11522329.0,IL2
0.038409,957.29517,1.0,16.628849,Thelper,3.2521424,2019-3-19,6332116.5,IL2
0.012803,494.25903,1.0,4.1222086,Thelper,1.636054,2019-3-19,2452411.8,IL2
0.004268,0.0,1.0,0.54281807,Thelper,0.7804803,2019-3-19,1628471.0,IL2
0.001423,333.17114,1.0,0.32677174,Thelper,0.6323785,2019-3-19,1751111.9,IL2
0.000474,79.14453,1.0,38.79832,Thelper,4.022318,2019-3-19,2700926.0,IL2
84.0,25588.078,0.5,-0.23555541,Treg,0.6499506,2019-3-19,626114940.0,IL2
28.0,27628.781,0.5,-0.06659889,Treg,0.7752628,2019-3-19,811608260.0,IL2
9.333333,29111.867,0.5,-0.14679337,Treg,0.754995,2019-3-19,881852400.0,IL2
3.111,22475.832,0.5,1.4706411,Treg,1.0257125,2019-3-19,522674300.0,IL2
1.037037,6667.4043,0.5,14.969166,Treg,3.3660693,2019-3-19,133137370.0,IL2
0.345679,2559.2227,0.5,71.459206,Treg,7.7392225,2019-3-19,124701890.0,IL2
0.115226,1141.0332,0.5,55.734776,Treg,6.6644273,2019-3-19,32221856.0,IL2
0.038409,1582.5781,0.5,23.403896,Treg,4.569261,2019-3-19,59220340.0,IL2
0.012803,234.40479,0.5,56.559467,Treg,6.3796954,2019-3-19,12615319.0,IL2
0.004268,0.0,0.5,38.26505,Treg,4.9375834,2019-3-19,5053997.0,IL2
0.001423,113.01611,0.5,35.82334,Treg,5.494599,2019-3-19,13239263.0,IL2
0.000474,303.53516,0.5,6.689971,Treg,2.139133,2019-3-19,4833708.0,IL2
84.0,27485.637,0.5,23.324644,Thelper,1.5418218,2019-3-19,654836160.0,IL2
28.0,31488.645,0.5,-0.38652396,Thelper,0.64044416,2019-3-19,833358140.0,IL2
9.333333,33121.324,0.5,-0.44645762,Thelper,0.57559097,2019-3-19,856571900.0,IL2
3.111,26300.15,0.5,0.21994781,Thelper,0.46717846,2019-3-19,396919300.0,IL2
1.037037,3594.207,0.5,12.674312,Thelper,3.2278898,2019-3-19,54955772.0,IL2
0.345679,2964.5254,0.5,22.7782,Thelper,4.305303,2019-3-19,82761864.0,IL2
0.115226,1678.1567,0.5,25.590673,Thelper,4.708078,2019-3-19,35375040.0,IL2
0.038409,16.593018,0.5,32.052193,Thelper,4.606496,2019-3-19,4863596.5,IL2
0.012803,103.41504,0.5,262.62653,Thelper,15.8618965,2019-3-19,27914028.0,IL2
0.004268,40.564453,0.5,14.498192,Thelper,2.7376428,2019-3-19,2562272.0,IL2
0.001423,0.0,0.5,1.8817482,Thelper,1.0459334,2019-3-19,2100144.2,IL2
0.000474,859.0305,0.5,25.854023,Thelper,4.2013745,2019-3-19,5729712.0,IL2
84.0,12695.105,4.0,2146.0786,Treg,33.732204,2019-3-19,535185630.0,IL15
28.0,10404.879,4.0,3.0656018,Treg,1.527649,2019-3-19,182936260.0,IL15
9.333333,12268.123,4.0,3.5662556,Treg,1.5982181,2019-3-19,285825340.0,IL15
3.111,16859.195,4.0,-0.20849204,Treg,0.61685514,2019-3-19,262711100.0,IL15
1.037037,14798.674,4.0,-0.91771483,Treg,0.39542854,2019-3-19,197295630.0,IL15
0.345679,5735.73,4.0,2.0601196,Treg,1.4911283,2019-3-19,84025150.0,IL15
0.115226,3904.7466,4.0,6.4091167,Treg,2.2541845,2019-3-19,40834144.0,IL15
0.038409,613.31836,4.0,24.46668,Treg,4.2318025,2019-3-19,10669429.0,IL15
0.012803,455.77246,4.0,67.18731,Treg,7.6850266,2019-3-19,25212300.0,IL15
0.004268,36.8916,4.0,1.0101013,Treg,0.85716146,2019-3-19,3351689.0,IL15
0.001423,68.16211,4.0,0.10445809,Treg,0.51733077,2019-3-19,2562540.5,IL15
0.000474,0.0,4.0,26.93411,Treg,3.9939766,2019-3-19,5515972.0,IL15
84.0,11963.875,4.0,2.997726,Thelper,1.6957386,2019-3-19,255596780.0,IL15
28.0,8335.369,4.0,11.440775,Thelper,2.2317834,2019-3-19,117439120.0,IL15
9.333333,10833.066,4.0,3.1069517,Thelper,1.6937712,2019-3-19,241912340.0,IL15
3.111,13489.944,4.0,0.54213214,Thelper,1.1300176,2019-3-19,291003200.0,IL15
1.037037,9139.502,4.0,1.4587274,Thelper,1.493563,2019-3-19,176744100.0,IL15
0.345679,4023.018,4.0,10.8788,Thelper,2.9603882,2019-3-19,60358300.0,IL15
0.115226,1047.4502,4.0,17.908062,Thelper,3.561059,2019-3-19,9589459.0,IL15
0.038409,0.0,4.0,22.16937,Thelper,3.4024148,2019-3-19,2752432.8,IL15
0.012803,175.50415,4.0,0.16149163,Thelper,0.773142,2019-3-19,1600105.5,IL15
0.004268,148.74512,4.0,1.7640758,Thelper,1.0599624,2019-3-19,1941605.2,IL15
0.001423,496.88232,4.0,28.075531,Thelper,3.8368678,2019-3-19,3036188.5,IL15
0.000474,608.1748,4.0,0.3452716,Thelper,0.5915766,2019-3-19,2116971.2,IL15
84.0,22403.75,2.0,0.55848956,Treg,0.5360848,2019-3-19,298645020.0,IL15
28.0,24086.04,2.0,493.05035,Treg,21.561874,2019-3-19,8446548000.0,IL15
9.333333,19993.922,2.0,1.0575337,Treg,0.58946544,2019-3-19,267825060.0,IL15
3.111,20061.049,2.0,2.9110188,Treg,1.0183393,2019-3-19,276634880.0,IL15
1.037037,13279.734,2.0,-0.35224652,Treg,0.74313194,2019-3-19,213380910.0,IL15
0.345679,3211.217,2.0,9.666218,Treg,2.819512,2019-3-19,30397682.0,IL15
0.115226,1198.0261,2.0,52.13261,Treg,5.704867,2019-3-19,8556551.0,IL15
0.038409,508.41577,2.0,-0.028300524,Treg,0.43279126,2019-3-19,2550890.0,IL15
0.012803,809.5613,2.0,83.84364,Treg,8.536223,2019-3-19,24426962.0,IL15
0.004268,84.5813,2.0,0.6960368,Treg,0.58697784,2019-3-19,1690994.0,IL15
0.001423,0.0,2.0,-0.4125197,Treg,0.6063989,2019-3-19,2134614.8,IL15
0.000474,672.1892,2.0,71.714264,Treg,7.4850335,2019-3-19,10316294.0,IL15
84.0,10643.518,2.0,2.907681,Thelper,1.8090143,2019-3-19,246532780.0,IL15
28.0,12885.584,2.0,4.3298454,Thelper,1.7630837,2019-3-19,304710900.0,IL15
9.333333,9812.051,2.0,3.2420325,Thelper,1.9041467,2019-3-19,249237840.0,IL15
3.111,11202.061,2.0,1.9451752,Thelper,1.5270542,2019-3-19,260430980.0,IL15
1.037037,5407.174,2.0,7.683552,Thelper,2.654665,2019-3-19,98935080.0,IL15
0.345679,1040.9736,2.0,6.48015,Thelper,2.4335022,2019-3-19,6117266.0,IL15
0.115226,566.7246,2.0,2.1989527,Thelper,1.1990739,2019-3-19,1852061.5,IL15
0.038409,0.0,2.0,1.3362913,Thelper,0.8096819,2019-3-19,1110973.6,IL15
0.012803,299.46533,2.0,18.358786,Thelper,3.2820837,2019-3-19,2089515.2,IL15
0.004268,521.76074,2.0,0.28742552,Thelper,0.5682608,2019-3-19,1912192.4,IL15
0.001423,834.3259,2.0,40.95648,Thelper,6.3076367,2019-3-19,14914245.0,IL15
0.000474,485.77173,2.0,4.0134563,Thelper,1.3484932,2019-3-19,1309489.8,IL15
84.0,24171.148,1.0,2.6729188,Treg,1.5252632,2019-3-19,913392830.0,IL15
28.0,25201.105,1.0,-0.35414028,Treg,0.74018234,2019-3-19,715052500.0,IL15
9.333333,27898.793,1.0,-0.033597946,Treg,0.84622306,2019-3-19,857596160.0,IL15
3.111,19876.969,1.0,0.87249327,Treg,1.1267037,2019-3-19,622603970.0,IL15
1.037037,14701.04,1.0,2.058126,Treg,1.3760402,2019-3-19,360558560.0,IL15
0.345679,4961.8545,1.0,131.7026,Treg,10.885386,2019-3-19,638713200.0,IL15
0.115226,216.66064,1.0,36.69008,Treg,4.743542,2019-3-19,5668018.5,IL15
0.038409,0.0,1.0,18.682962,Treg,3.7051177,2019-3-19,7424984.0,IL15
0.012803,122.92969,1.0,14.610561,Treg,2.185092,2019-3-19,3149182.5,IL15
0.004268,310.21533,1.0,159.56561,Treg,9.990239,2019-3-19,9310654.0,IL15
0.001423,220.69043,1.0,131.08049,Treg,8.606976,2019-3-19,7563932.0,IL15
0.000474,852.44775,1.0,57.370304,Treg,6.6101265,2019-3-19,28564326.0,IL15
84.0,14511.282,1.0,0.9708607,Thelper,1.3332784,2019-3-19,419692740.0,IL15
28.0,15066.575,1.0,1.5844927,Thelper,1.4048642,2019-3-19,433032860.0,IL15
9.333333,17074.938,1.0,0.96423626,Thelper,1.2682856,2019-3-19,505185000.0,IL15
3.111,13643.905,1.0,3.9026165,Thelper,1.733267,2019-3-19,388797900.0,IL15
1.037037,10081.058,1.0,1.7072358,Thelper,1.5082908,2019-3-19,203326200.0,IL15
0.345679,1593.8875,1.0,36.022823,Thelper,5.0704317,2019-3-19,15886109.0,IL15
0.115226,143.46948,1.0,2.9064636,Thelper,1.4384576,2019-3-19,2142221.2,IL15
0.038409,0.0,1.0,13.725788,Thelper,2.6215787,2019-3-19,2195629.2,IL15
0.012803,157.6748,1.0,33.860085,Thelper,3.4069273,2019-3-19,2181331.8,IL15
0.004268,682.3186,1.0,100.04892,Thelper,7.6347404,2019-3-19,4618680.0,IL15
0.001423,383.14014,1.0,55.240852,Thelper,3.919634,2019-3-19,2402479.5,IL15
0.000474,549.1848,1.0,205.54947,Thelper,8.58766,2019-3-19,3290852.2,IL15
84.0,25903.64,0.5,-0.5204396,Treg,0.60768014,2019-3-19,610716540.0,IL15
28.0,25948.04,0.5,-0.66762495,Treg,0.35035667,2019-3-19,451207800.0,IL15
9.333333,23713.031,0.5,-0.09279156,Treg,0.7806086,2019-3-19,552026750.0,IL15
3.111,27588.547,0.5,0.45045614,Treg,0.8509037,2019-3-19,734642050.0,IL15
1.037037,23405.66,0.5,-0.6821823,Treg,-0.21345581,2019-3-19,215486530.0,IL15
0.345679,3551.1523,0.5,-0.07276535,Treg,0.75991786,2019-3-19,10377656.0,IL15
0.115226,1015.38135,0.5,2.1957932,Treg,1.0074981,2019-3-19,3716646.2,IL15
0.038409,390.89795,0.5,7.722413,Treg,1.7698877,2019-3-19,3222078.2,IL15
0.012803,321.54785,0.5,1.484611,Treg,0.9073902,2019-3-19,2542836.0,IL15
0.004268,555.8594,0.5,322.002,Treg,11.99309,2019-3-19,5584106.5,IL15
0.001423,442.6162,0.5,10.242394,Treg,2.3701694,2019-3-19,4283035.0,IL15
0.000474,0.0,0.5,128.54385,Treg,9.525636,2019-3-19,7537101.5,IL15
84.0,28253.443,0.5,48.96187,Thelper,5.3225064,2019-3-19,1751264800.0,IL15
28.0,27357.535,0.5,5.598239,Thelper,1.7152828,2019-3-19,742714800.0,IL15
9.333333,19042.723,0.5,1.4186125,Thelper,1.3950326,2019-3-19,588551940.0,IL15
3.111,27589.582,0.5,1.8867517,Thelper,1.133191,2019-3-19,802953400.0,IL15
1.037037,15671.57,0.5,0.45462227,Thelper,1.0812762,2019-3-19,316789600.0,IL15
0.345679,2839.2234,0.5,2.221458,Thelper,1.3711374,2019-3-19,11788047.0,IL15
0.115226,1271.0701,0.5,4.4642925,Thelper,1.6884832,2019-3-19,4467053.0,IL15
0.038409,990.7388,0.5,0.43821168,Thelper,0.83251095,2019-3-19,3756531.8,IL15
0.012803,1019.13257,0.5,1.8305922,Thelper,1.3026223,2019-3-19,3007122.5,IL15
0.004268,686.17334,0.5,9.688833,Thelper,1.7117982,2019-3-19,2194001.2,IL15
0.001423,1126.457,0.5,9.293201,Thelper,2.5020947,2019-3-19,6034861.5,IL15
0.000474,0.0,0.5,11.254195,Thelper,2.405289,2019-3-19,2162350.2,IL15
84.0,10635.02,4.0,0.0020382404,Treg,0.67513144,2019-3-27,153044720.0,IL2
28.0,10537.592,4.0,-0.37917852,Treg,0.5342683,2019-3-27,134587870.0,IL2
9.333333,13858.98,4.0,0.27323127,Treg,0.8537102,2019-3-27,244949300.0,IL2
3.111,13086.123,4.0,0.01120472,Treg,0.7030685,2019-3-27,216093260.0,IL2
1.037037,12842.674,4.0,-0.21923876,Treg,0.7117123,2019-3-27,226626450.0,IL2
0.345679,14130.326,4.0,0.7425451,Treg,1.1507525,2019-3-27,417749950.0,IL2
0.115226,15066.9375,4.0,0.95456934,Treg,1.311219,2019-3-27,545679400.0,IL2
0.038409,11691.969,4.0,1.6267047,Treg,1.5540406,2019-3-27,436343600.0,IL2
0.012803,6899.933,4.0,6.783576,Treg,2.4550512,2019-3-27,290525280.0,IL2
0.004268,2492.3687,4.0,8.839211,Treg,2.9068255,2019-3-27,119391040.0,IL2
0.001423,1575.0122,4.0,13.608618,Treg,3.537332,2019-3-27,97300890.0,IL2
0.000474,0.0,4.0,24.9495,Treg,4.477928,2019-3-27,41425644.0,IL2
84.0,7220.1963,4.0,2.2181044,Thelper,1.3792889,2019-3-27,112112376.0,IL2
28.0,6297.1387,4.0,2.0662212,Thelper,1.4381249,2019-3-27,99084360.0,IL2
9.333333,8735.453,4.0,6.046151,Thelper,1.8126205,2019-3-27,167323570.0,IL2
3.111,7922.711,4.0,2.6018934,Thelper,1.5825047,2019-3-27,141876060.0,IL2
1.037037,7081.2197,4.0,3.9585152,Thelper,1.8776642,2019-3-27,132927870.0,IL2
0.345679,8622.524,4.0,5.38659,Thelper,2.2422094,2019-3-27,220605040.0,IL2
0.115226,8336.281,4.0,89.45748,Thelper,4.7150517,2019-3-27,309915170.0,IL2
0.038409,5377.4375,4.0,11.955563,Thelper,3.2269943,2019-3-27,175518930.0,IL2
0.012803,2341.2637,4.0,64.68928,Thelper,5.833843,2019-3-27,64595620.0,IL2
0.004268,399.42773,4.0,124.20368,Thelper,7.996351,2019-3-27,13620643.0,IL2
0.001423,157.04541,4.0,109.79767,Thelper,6.6328225,2019-3-27,5474985.0,IL2
0.000474,0.0,4.0,42.73673,Thelper,3.4994109,2019-3-27,3609739.5,IL2
84.0,18604.717,2.0,0.74998355,Treg,1.2718093,2019-3-27,784279600.0,IL2
28.0,17958.78,2.0,0.9521568,Treg,1.3384092,2019-3-27,776669100.0,IL2
9.333333,16668.89,2.0,0.9315469,Treg,1.363054,2019-3-27,709255800.0,IL2
3.111,16062.654,2.0,1.4491057,Treg,1.5011894,2019-3-27,707667100.0,IL2
1.037037,15076.381,2.0,1.1273403,Treg,1.4216261,2019-3-27,644971600.0,IL2
0.345679,10799.572,2.0,233.94786,Treg,10.056555,2019-3-27,728885700.0,IL2
0.115226,12925.078,2.0,1.0990524,Treg,1.4477144,2019-3-27,542274500.0,IL2
0.038409,8268.471,2.0,2.9710603,Treg,1.9594228,2019-3-27,386440400.0,IL2
0.012803,4220.318,2.0,6.677953,Treg,2.5966258,2019-3-27,213936670.0,IL2
0.004268,1831.7456,2.0,9.931133,Treg,3.0849075,2019-3-27,121674424.0,IL2
0.001423,1283.4917,2.0,17.021193,Treg,3.7196517,2019-3-27,114913470.0,IL2
0.000474,0.0,2.0,22.573835,Treg,4.211687,2019-3-27,55734356.0,IL2
84.0,18523.791,2.0,1.8078828,Thelper,1.4418145,2019-3-27,593211700.0,IL2
28.0,17408.574,2.0,1.8814259,Thelper,1.4735856,2019-3-27,527019300.0,IL2
9.333333,16401.252,2.0,2.580502,Thelper,1.6105946,2019-3-27,483808600.0,IL2
3.111,13936.041,2.0,3.6495538,Thelper,1.8319573,2019-3-27,381134430.0,IL2
1.037037,9325.486,2.0,7.0806866,Thelper,2.5004416,2019-3-27,271063500.0,IL2
0.345679,7054.482,2.0,9.369669,Thelper,2.8872063,2019-3-27,190186240.0,IL2
0.115226,4342.4536,2.0,244.56459,Thelper,7.895749,2019-3-27,131184664.0,IL2
0.038409,1802.4199,2.0,35.08634,Thelper,5.1510873,2019-3-27,39615532.0,IL2
0.012803,470.32715,2.0,88.117966,Thelper,6.7214594,2019-3-27,8383474.0,IL2
0.004268,45.59131,2.0,95.856155,Thelper,5.5098386,2019-3-27,3914504.0,IL2
0.001423,0.0,2.0,109.140526,Thelper,6.708217,2019-3-27,4527830.5,IL2
0.000474,0.088378906,2.0,5929.1265,Thelper,58.02269,2019-3-27,7674506.5,IL2
84.0,22891.562,1.0,-0.117959976,Treg,1.0081044,2019-3-27,993336770.0,IL2
28.0,22747.781,1.0,72.472435,Treg,4.155686,2019-3-27,1030754370.0,IL2
9.333333,21412.844,1.0,0.22859359,Treg,1.069134,2019-3-27,863281700.0,IL2
3.111,21082.71,1.0,0.24055052,Treg,1.1482717,2019-3-27,922968000.0,IL2
1.037037,16816.93,1.0,0.7192111,Treg,1.3099341,2019-3-27,697260700.0,IL2
0.345679,14220.179,1.0,1.2455368,Treg,1.4891793,2019-3-27,618176800.0,IL2
0.115226,12464.175,1.0,1622.205,Treg,35.408207,2019-3-27,2234580700.0,IL2
0.038409,15513.946,1.0,2508.89,Treg,49.92129,2019-3-27,62189140000.0,IL2
0.012803,4732.3887,1.0,5.0373964,Treg,2.2966225,2019-3-27,191077300.0,IL2
0.004268,2400.207,1.0,7.8202915,Treg,2.6845155,2019-3-27,107750800.0,IL2
0.001423,2225.5195,1.0,2249.4587,Treg,47.05957,2019-3-27,4467126300.0,IL2
0.000474,0.0,1.0,28.447832,Treg,4.667582,2019-3-27,53267228.0,IL2
84.0,19549.047,1.0,1.0563073,Thelper,1.2517867,2019-3-27,581359360.0,IL2
28.0,20521.803,1.0,0.77165055,Thelper,1.1538398,2019-3-27,575410050.0,IL2
9.333333,18330.932,1.0,1.1374712,Thelper,1.2397047,2019-3-27,487171900.0,IL2
3.111,17751.338,1.0,1.7581453,Thelper,1.4176657,2019-3-27,483426600.0,IL2
1.037037,12556.787,1.0,3.5709686,Thelper,2.0019124,2019-3-27,435365500.0,IL2
0.345679,6623.7646,1.0,9.133728,Thelper,2.855747,2019-3-27,180947420.0,IL2
0.115226,3174.2192,1.0,65.53028,Thelper,5.179554,2019-3-27,68063144.0,IL2
0.038409,1492.1738,1.0,8096.3604,Thelper,73.52405,2019-3-27,70485080.0,IL2
0.012803,434.18652,1.0,14441.682,Thelper,116.26359,2019-3-27,77326024.0,IL2
0.004268,89.15527,1.0,281.36307,Thelper,10.393022,2019-3-27,4934117.5,IL2
0.001423,0.0,1.0,40.516975,Thelper,3.339594,2019-3-27,2884413.8,IL2
0.000474,84.25049,1.0,4097.3936,Thelper,46.367958,2019-3-27,6688216.5,IL2
84.0,27318.016,0.5,-0.2624836,Treg,0.7995181,2019-3-27,1077715100.0,IL2
28.0,28635.312,0.5,-0.2374568,Treg,0.784602,2019-3-27,1124243300.0,IL2
9.333333,26852.355,0.5,-0.5264728,Treg,0.71031463,2019-3-27,983748740.0,IL2
3.111,25324.016,0.5,329.85986,Treg,11.537094,2019-3-27,1548745900.0,IL2
1.037037,22082.104,0.5,-0.27305365,Treg,0.98746634,2019-3-27,1026882000.0,IL2
0.345679,10369.738,0.5,1.8117318,Treg,1.6840932,2019-3-27,484258720.0,IL2
0.115226,10080.334,0.5,1.9483886,Treg,1.6796727,2019-3-27,475032160.0,IL2
0.038409,5083.2925,0.5,3.4276052,Treg,2.0492468,2019-3-27,233588780.0,IL2
0.012803,2374.101,0.5,8.380114,Treg,2.8234844,2019-3-27,138675550.0,IL2
0.004268,1697.69,0.5,16.400408,Treg,3.5670326,2019-3-27,130049910.0,IL2
0.001423,491.7456,0.5,16.459637,Treg,3.7679727,2019-3-27,90357520.0,IL2
0.000474,0.0,0.5,16.349232,Treg,3.7711031,2019-3-27,70815224.0,IL2
84.0,29643.547,0.5,0.12924242,Thelper,0.7885424,2019-3-27,831162240.0,IL2
28.0,30141.363,0.5,-0.1525631,Thelper,0.71760607,2019-3-27,830328260.0,IL2
9.333333,25960.865,0.5,-0.045454264,Thelper,0.8097626,2019-3-27,696051800.0,IL2
3.111,22712.379,0.5,211.7967,Thelper,5.7460427,2019-3-27,715966660.0,IL2
1.037037,12027.17,0.5,4.25446,Thelper,2.129743,2019-3-27,469878300.0,IL2
0.345679,2761.4448,0.5,30.216545,Thelper,4.706256,2019-3-27,56833736.0,IL2
0.115226,1781.1304,0.5,20155.773,Thelper,141.79416,2019-3-27,8487947000.0,IL2
0.038409,238.28223,0.5,487.62234,Thelper,13.19115,2019-3-27,6863717.0,IL2
0.012803,93.20801,0.5,127.915436,Thelper,8.226618,2019-3-27,6020455.0,IL2
0.004268,373.14404,0.5,302.8609,Thelper,12.153604,2019-3-27,9548383.0,IL2
0.001423,0.0,0.5,10741.357,Thelper,92.1422,2019-3-27,18870312.0,IL2
0.000474,14.479004,0.5,245.78401,Thelper,9.56534,2019-3-27,4037100.0,IL2
84.0,18319.414,4.0,0.5913696,Treg,1.063127,2019-3-27,548290400.0,IL15
28.0,19347.791,4.0,0.27456856,Treg,1.0026498,2019-3-27,576789800.0,IL15
9.333333,18432.387,4.0,0.16947746,Treg,0.9807529,2019-3-27,528834000.0,IL15
3.111,18796.129,4.0,0.26157403,Treg,1.0202287,2019-3-27,573119400.0,IL15
1.037037,17231.29,4.0,0.5175593,Treg,1.0900754,2019-3-27,503291330.0,IL15
0.345679,15664.6,4.0,0.8654084,Treg,1.1845152,2019-3-27,453770240.0,IL15
0.115226,9755.297,4.0,2420.691,Treg,48.99973,2019-3-27,19102044000.0,IL15
0.038409,2473.254,4.0,13.468361,Treg,3.324768,2019-3-27,95202090.0,IL15
0.012803,1106.0029,4.0,20.016405,Treg,4.048723,2019-3-27,67416750.0,IL15
0.004268,0.0,4.0,22.557781,Treg,4.2775373,2019-3-27,43833496.0,IL15
