Dose,Mean,Time,Kurtosis,Cell,Skew,Date,Variance,Ligand
84.0,16374.072,4.0,150.8472,Treg,5.4110065,2019-3-19,435473660.0,IL2
28.0,17335.598,4.0,2.0027199,Treg,1.3786159,2019-3-19,460988060.0,IL2
9.333333,19077.42,4.0,8172.8193,Treg,85.95638,2019-3-19,5439667000.0,IL2
3.111,17512.873,4.0,0.96122074,Treg,0.68416905,2019-3-19,209138900.0,IL2
1.037037,12621.281,4.0,1.4698586,Treg,0.73747796,2019-3-19,92426430.0,IL2
0.345679,8544.198,4.0,15.4862385,Treg,3.719838,2019-3-19,225995180.0,IL2
0.115226,1546.8145,4.0,12.930188,Treg,3.2696242,2019-3-19,25819548.0,IL2
0.038409,343.42188,4.0,28.954739,Treg,5.13397,2019-3-19,17774110.0,IL2
0.012803,0.0,4.0,1.651257,Treg,1.0188844,2019-3-19,3535378.2,IL2
0.004268,199.52441,4.0,6.563939,Treg,1.6431541,2019-3-19,4524802.5,IL2
0.001423,87.83789,4.0,1.8436799,Treg,0.98516303,2019-3-19,3339600.2,IL2
0.000474,70.94141,4.0,2.8209367,Treg,1.1711565,2019-3-19,3462858.2,IL2
84.0,18516.197,4.0,155.82095,Thelper,4.7955413,2019-3-19,494939680.0,IL2
28.0,17967.549,4.0,1.4181099,Thelper,1.2584503,2019-3-19,429210780.0,IL2
9.333333,19422.521,4.0,1.0195723,Thelper,1.1912619,2019-3-19,490960600.0,IL2
3.111,15613.811,4.0,5.8400316,Thelper,1.8402238,2019-3-19,341408700.0,IL2
1.037037,11358.521,4.0,5.411792,Thelper,2.1137009,2019-3-19,226472270.0,IL2
0.345679,11528.477,4.0,9.37988,Thelper,2.9353843,2019-3-19,469551550.0,IL2
0.115226,5126.8286,4.0,27.807331,Thelper,5.1007543,2019-3-19,293790460.0,IL2
0.038409,2860.8423,4.0,22.990915,Thelper,4.684412,2019-3-19,116558170.0,IL2
0.012803,762.42944,4.0,74.39382,Thelper,8.121351,2019-3-19,19096662.0,IL2
0.004268,0.0,4.0,1.937293,Thelper,1.1879015,2019-3-19,1833862.4,IL2
0.001423,18.953613,4.0,1.5900726,Thelper,1.286412,2019-3-19,2778126.5,IL2
0.000474,774.3721,4.0,10.606181,Thelper,2.5152078,2019-3-19,5184225.5,IL2
84.0,20351.041,2.0,39.98348,Treg,2.739952,2019-3-19,733883400.0,IL2
28.0,19983.217,2.0,1.6552501,Treg,1.378068,2019-3-19,679924000.0,IL2
9.333333,21814.24,2.0,0.470958,Treg,0.7729262,2019-3-19,455921100.0,IL2
3.111,20362.203,2.0,0.7339709,Treg,0.53627026,2019-3-19,270229220.0,IL2
1.037037,7178.771,2.0,0.52653456,Treg,0.9252267,2019-3-19,46222024.0,IL2
0.345679,4242.36,2.0,32.794743,Treg,5.3345246,2019-3-19,115929576.0,IL2
0.115226,2252.0273,2.0,32.08648,Treg,5.243679,2019-3-19,83194500.0,IL2
0.038409,613.9287,2.0,139.69862,Treg,9.893899,2019-3-19,16749989.0,IL2
0.012803,367.36426,2.0,67.6767,Treg,6.4397783,2019-3-19,8762278.0,IL2
0.004268,216.4253,2.0,93.40018,Treg,7.8894615,2019-3-19,8960021.0,IL2
0.001423,0.0,2.0,45.982475,Treg,5.6918726,2019-3-19,8682289.0,IL2
0.000474,566.2803,2.0,20.465237,Treg,3.7524314,2019-3-19,8607766.0,IL2
84.0,21950.959,2.0,2.5979285,Thelper,1.3117425,2019-3-19,736669250.0,IL2
28.0,21662.76,2.0,0.6077175,Thelper,1.1114688,2019-3-19,643630200.0,IL2
9.333333,16014.789,2.0,2.1940327,Thelper,1.4683824,2019-3-19,497016960.0,IL2
3.111,16433.238,2.0,0.5147605,Thelper,0.8775075,2019-3-19,280849860.0,IL2
1.037037,5106.7026,2.0,8.430265,Thelper,2.7317545,2019-3-19,103973600.0,IL2
0.345679,4260.7354,2.0,24.23084,Thelper,4.4720836,2019-3-19,194499840.0,IL2
0.115226,1252.0869,2.0,39.05716,Thelper,5.666839,2019-3-19,42312050.0,IL2
0.038409,193.69653,2.0,32.52643,Thelper,5.180613,2019-3-19,11129800.0,IL2
0.012803,0.0,2.0,15.366112,Thelper,3.3782117,2019-3-19,6274221.5,IL2
0.004268,45.40088,2.0,14.488346,Thelper,2.8636441,2019-3-19,3555244.5,IL2
0.001423,49.64258,2.0,12.961476,Thelper,3.2205606,2019-3-19,6293340.5,IL2
0.000474,258.58252,2.0,2.800476,Thelper,1.7012768,2019-3-19,6393180.0,IL2
84.0,25194.488,1.0,0.09632707,Treg,0.5509098,2019-3-19,469721570.0,IL2
28.0,12998.063,1.0,1.3162179,Treg,1.2675127,2019-3-19,261368660.0,IL2
9.333333,9188.8545,1.0,3.192255,Treg,1.6391593,2019-3-19,144728770.0,IL2
3.111,15713.86,1.0,3.881267,Treg,1.3992845,2019-3-19,271630430.0,IL2
1.037037,6071.75,1.0,13.705624,Treg,3.3654377,2019-3-19,139249060.0,IL2
0.345679,4451.785,1.0,14.689234,Treg,3.6355336,2019-3-19,132735290.0,IL2
0.115226,2162.9053,1.0,54.14641,Treg,7.3428254,2019-3-19,106261650.0,IL2
0.038409,1694.2686,1.0,31.566952,Treg,5.6470456,2019-3-19,68974240.0,IL2
0.012803,349.00928,1.0,-0.35862207,Treg,0.26081282,2019-3-19,1914260.8,IL2
0.004268,1030.8809,1.0,33.320824,Treg,5.5695047,2019-3-19,29455010.0,IL2
0.001423,0.0,1.0,0.41252708,Treg,0.6288839,2019-3-19,2910086.2,IL2
0.000474,234.90039,1.0,21.883066,Treg,3.4801056,2019-3-19,4782771.0,IL2
