Receptor,Moment,Treg,Thelper,NK,CD8
IL2Ra,1,3.56178374,2.764256931,2.437384981,2.720894334
IL2Rb,1,3.371131121,3.419401309,3.814041398,3.536319499
gc,1,3.836855691,3.749127402,3.573221263,3.805739343
IL15Ra,1,-6,-6,-6,-6
IL7Ra,1,3.539385931,4.335589141,3.540585031,4.30494276
