Dose,Ligand,Skew,Date,Variance,Mean,Kurtosis,alphStatCov,Cell,Time,Bivalent
84,WT N-term,0,3/1/19,0,2256.871277,0,0,NK,0.5,0
28,WT N-term,0,3/1/19,0,1961.725525,0,0,NK,0.5,0
9.333333,WT N-term,0,3/1/19,0,395.4417109,0,0,NK,0.5,0
3.111,WT N-term,0,3/1/19,0,353.6280517,0,0,NK,0.5,0
1.037037,WT N-term,0,3/1/19,0,231.6079712,0,0,NK,0.5,0
0.345679,WT N-term,0,3/1/19,0,277.4361572,0,0,NK,0.5,0
0.115226,WT N-term,0,3/1/19,0,228.9880371,0,0,NK,0.5,0
0.038409,WT N-term,0,3/1/19,0,110.7858886,0,0,NK,0.5,0
0.012803,WT N-term,0,3/1/19,0,0,0,0,NK,0.5,0
0.004268,WT N-term,0,3/1/19,0,66.7280883,0,0,NK,0.5,0
0.001423,WT N-term,0,3/1/19,0,73.1765747,0,0,NK,0.5,0
0.000474,WT N-term,0,3/1/19,0,85.1970825,0,0,NK,0.5,0
84,WT N-term,0,3/1/19,0,2566.193604,0,0,NK,1,0
28,WT N-term,0,3/1/19,0,1750.762452,0,0,NK,1,0
9.333333,WT N-term,0,3/1/19,0,297.982544,0,0,NK,1,0
3.111,WT N-term,0,3/1/19,0,255.7042237,0,0,NK,1,0
1.037037,WT N-term,0,3/1/19,0,227.1490479,0,0,NK,1,0
0.345679,WT N-term,0,3/1/19,0,188.1916504,0,0,NK,1,0
0.115226,WT N-term,0,3/1/19,0,152.2615967,0,0,NK,1,0
0.038409,WT N-term,0,3/1/19,0,67.3510743,0,0,NK,1,0
0.012803,WT N-term,0,3/1/19,0,136.8911744,0,0,NK,1,0
0.004268,WT N-term,0,3/1/19,0,111.8941651,0,0,NK,1,0
0.001423,WT N-term,0,3/1/19,0,81.0698243,0,0,NK,1,0
0.000474,WT N-term,0,3/1/19,0,0,0,0,NK,1,0
84,WT N-term,0,3/1/19,0,1980.20752,0,0,NK,2,0
28,WT N-term,0,3/1/19,0,1569.772705,0,0,NK,2,0
9.333333,WT N-term,0,3/1/19,0,435.6431889,0,0,NK,2,0
3.111,WT N-term,0,3/1/19,0,148.7424926,0,0,NK,2,0
1.037037,WT N-term,0,3/1/19,0,153.9187622,0,0,NK,2,0
0.345679,WT N-term,0,3/1/19,0,139.9500122,0,0,NK,2,0
0.115226,WT N-term,0,3/1/19,0,68.0861816,0,0,NK,2,0
0.038409,WT N-term,0,3/1/19,0,28.7452392,0,0,NK,2,0
0.012803,WT N-term,0,3/1/19,0,37.4741211,0,0,NK,2,0
0.004268,WT N-term,0,3/1/19,0,24.9611206,0,0,NK,2,0
0.001423,WT N-term,0,3/1/19,0,0,0,0,NK,2,0
0.000474,WT N-term,0,3/1/19,0,30.0961914,0,0,NK,2,0
84,WT N-term,0,3/1/19,0,1738.664062,0,0,NK,4,0
28,WT N-term,0,3/1/19,0,1393.259033,0,0,NK,4,0
9.333333,WT N-term,0,3/1/19,0,1060.706543,0,0,NK,4,0
3.111,WT N-term,0,3/1/19,0,708.7536622,0,0,NK,4,0
1.037037,WT N-term,0,3/1/19,0,341.1744382,0,0,NK,4,0
0.345679,WT N-term,0,3/1/19,0,283.9448242,0,0,NK,4,0
0.115226,WT N-term,0,3/1/19,0,214.9680176,0,0,NK,4,0
0.038409,WT N-term,0,3/1/19,0,150.9873047,0,0,NK,4,0
0.012803,WT N-term,0,3/1/19,0,129.0205078,0,0,NK,4,0
0.004268,WT N-term,0,3/1/19,0,72.8903808,0,0,NK,4,0
0.001423,WT N-term,0,3/1/19,0,0,0,0,NK,4,0
0.000474,WT N-term,0,3/1/19,0,46.8270263,0,0,NK,4,0
84,WT N-term,0,3/1/19,0,3555.665894,0,0,CD8,0.5,0
28,WT N-term,0,3/1/19,0,2009.337036,0,0,CD8,0.5,0
9.333333,WT N-term,0,3/1/19,0,172.3674316,0,0,CD8,0.5,0
3.111,WT N-term,0,3/1/19,0,136.1860962,0,0,CD8,0.5,0
1.037037,WT N-term,0,3/1/19,0,145.0102539,0,0,CD8,0.5,0
0.345679,WT N-term,0,3/1/19,0,64.5970459,0,0,CD8,0.5,0
0.115226,WT N-term,0,3/1/19,0,127.7669678,0,0,CD8,0.5,0
0.038409,WT N-term,0,3/1/19,0,72.4331665,0,0,CD8,0.5,0
0.012803,WT N-term,0,3/1/19,0,0,0,0,CD8,0.5,0
0.004268,WT N-term,0,3/1/19,0,19.8009033,0,0,CD8,0.5,0
0.001423,WT N-term,0,3/1/19,0,19.2657471,0,0,CD8,0.5,0
0.000474,WT N-term,0,3/1/19,0,8.9326172,0,0,CD8,0.5,0
84,WT N-term,0,3/1/19,0,3353.260742,0,0,CD8,1,0
28,WT N-term,0,3/1/19,0,1868.047851,0,0,CD8,1,0
9.333333,WT N-term,0,3/1/19,0,227.4720459,0,0,CD8,1,0
3.111,WT N-term,0,3/1/19,0,149.1869506,0,0,CD8,1,0
1.037037,WT N-term,0,3/1/19,0,130.1586914,0,0,CD8,1,0
0.345679,WT N-term,0,3/1/19,0,110.1782837,0,0,CD8,1,0
0.115226,WT N-term,0,3/1/19,0,39.0936279,0,0,CD8,1,0
0.038409,WT N-term,0,3/1/19,0,49.5814209,0,0,CD8,1,0
0.012803,WT N-term,0,3/1/19,0,58.59375,0,0,CD8,1,0
0.004268,WT N-term,0,3/1/19,0,58.0855713,0,0,CD8,1,0
0.001423,WT N-term,0,3/1/19,0,35.3795776,0,0,CD8,1,0
0.000474,WT N-term,0,3/1/19,0,0,0,0,CD8,1,0
84,WT N-term,0,3/1/19,0,2627.371399,0,0,CD8,2,0
28,WT N-term,0,3/1/19,0,1463.979553,0,0,CD8,2,0
9.333333,WT N-term,0,3/1/19,0,221.9774781,0,0,CD8,2,0
3.111,WT N-term,0,3/1/19,0,130.4063111,0,0,CD8,2,0
1.037037,WT N-term,0,3/1/19,0,111.0731202,0,0,CD8,2,0
0.345679,WT N-term,0,3/1/19,0,81.128479,0,0,CD8,2,0
0.115226,WT N-term,0,3/1/19,0,67.0198365,0,0,CD8,2,0
0.038409,WT N-term,0,3/1/19,0,32.1791382,0,0,CD8,2,0
0.012803,WT N-term,0,3/1/19,0,40.1662598,0,0,CD8,2,0
0.004268,WT N-term,0,3/1/19,0,24.1415406,0,0,CD8,2,0
0.001423,WT N-term,0,3/1/19,0,20.4794922,0,0,CD8,2,0
0.000474,WT N-term,0,3/1/19,0,0,0,0,CD8,2,0
84,WT N-term,0,3/1/19,0,2813.729309,0,0,CD8,4,0
28,WT N-term,0,3/1/19,0,1704.059875,0,0,CD8,4,0
9.333333,WT N-term,0,3/1/19,0,917.5889283,0,0,CD8,4,0
3.111,WT N-term,0,3/1/19,0,371.3203733,0,0,CD8,4,0
1.037037,WT N-term,0,3/1/19,0,202.8704223,0,0,CD8,4,0
0.345679,WT N-term,0,3/1/19,0,169.3783569,0,0,CD8,4,0
0.115226,WT N-term,0,3/1/19,0,131.4090576,0,0,CD8,4,0
0.038409,WT N-term,0,3/1/19,0,76.5554809,0,0,CD8,4,0
0.012803,WT N-term,0,3/1/19,0,49.9282837,0,0,CD8,4,0
0.004268,WT N-term,0,3/1/19,0,17.7919311,0,0,CD8,4,0
0.001423,WT N-term,0,3/1/19,0,30.2401733,0,0,CD8,4,0
0.000474,WT N-term,0,3/1/19,0,0,0,0,CD8,4,0
84,WT N-term,0,3/1/19,0,31531.31714,0,0,Treg,0.5,0
28,WT N-term,0,3/1/19,0,36560.16089,0,0,Treg,0.5,0
9.333333,WT N-term,0,3/1/19,0,31870.27808,0,0,Treg,0.5,0
3.111,WT N-term,0,3/1/19,0,33333.39526,0,0,Treg,0.5,0
1.037037,WT N-term,0,3/1/19,0,22496.12378,0,0,Treg,0.5,0
0.345679,WT N-term,0,3/1/19,0,29720.30347,0,0,Treg,0.5,0
0.115226,WT N-term,0,3/1/19,0,8332.024171,0,0,Treg,0.5,0
0.038409,WT N-term,0,3/1/19,0,6504.895264,0,0,Treg,0.5,0
0.012803,WT N-term,0,3/1/19,0,395.939941,0,0,Treg,0.5,0
0.004268,WT N-term,0,3/1/19,0,410.649902,0,0,Treg,0.5,0
0.001423,WT N-term,0,3/1/19,0,0,0,0,Treg,0.5,0
0.000474,WT N-term,0,3/1/19,0,299.53418,0,0,Treg,0.5,0
84,WT N-term,0,3/1/19,0,35543.89478,0,0,Treg,1,0
28,WT N-term,0,3/1/19,0,35938.76587,0,0,Treg,1,0
9.333333,WT N-term,0,3/1/19,0,34855.01978,0,0,Treg,1,0
3.111,WT N-term,0,3/1/19,0,35262.60962,0,0,Treg,1,0
1.037037,WT N-term,0,3/1/19,0,26611.53345,0,0,Treg,1,0
0.345679,WT N-term,0,3/1/19,0,28779.01392,0,0,Treg,1,0
0.115226,WT N-term,0,3/1/19,0,6802.103759,0,0,Treg,1,0
0.038409,WT N-term,0,3/1/19,0,2228.004882,0,0,Treg,1,0
0.012803,WT N-term,0,3/1/19,0,1756.80249,0,0,Treg,1,0
0.004268,WT N-term,0,3/1/19,0,288.176513,0,0,Treg,1,0
0.001423,WT N-term,0,3/1/19,0,404.540771,0,0,Treg,1,0
0.000474,WT N-term,0,3/1/19,0,0,0,0,Treg,1,0
84,WT N-term,0,3/1/19,0,30049.04736,0,0,Treg,2,0
28,WT N-term,0,3/1/19,0,33676.62549,0,0,Treg,2,0
9.333333,WT N-term,0,3/1/19,0,30090.15088,0,0,Treg,2,0
3.111,WT N-term,0,3/1/19,0,33746.84424,0,0,Treg,2,0
1.037037,WT N-term,0,3/1/19,0,24674.21143,0,0,Treg,2,0
0.345679,WT N-term,0,3/1/19,0,25976.80322,0,0,Treg,2,0
0.115226,WT N-term,0,3/1/19,0,15153.76807,0,0,Treg,2,0
0.038409,WT N-term,0,3/1/19,0,3498.868653,0,0,Treg,2,0
0.012803,WT N-term,0,3/1/19,0,467.022706,0,0,Treg,2,0
0.004268,WT N-term,0,3/1/19,0,865.483399,0,0,Treg,2,0
0.001423,WT N-term,0,3/1/19,0,573.098633,0,0,Treg,2,0
0.000474,WT N-term,0,3/1/19,0,0,0,0,Treg,2,0
84,WT N-term,0,3/1/19,0,32382.45154,0,0,Treg,4,0
28,WT N-term,0,3/1/19,0,31662.70545,0,0,Treg,4,0
9.333333,WT N-term,0,3/1/19,0,29730.90857,0,0,Treg,4,0
3.111,WT N-term,0,3/1/19,0,30519.62928,0,0,Treg,4,0
1.037037,WT N-term,0,3/1/19,0,28243.71717,0,0,Treg,4,0
0.345679,WT N-term,0,3/1/19,0,28512.41248,0,0,Treg,4,0
0.115226,WT N-term,0,3/1/19,0,24165.24646,0,0,Treg,4,0
0.038409,WT N-term,0,3/1/19,0,25206.35584,0,0,Treg,4,0
0.012803,WT N-term,0,3/1/19,0,14860.33435,0,0,Treg,4,0
0.004268,WT N-term,0,3/1/19,0,6767.594116,0,0,Treg,4,0
0.001423,WT N-term,0,3/1/19,0,1382.235962,0,0,Treg,4,0
0.000474,WT N-term,0,3/1/19,0,0,0,0,Treg,4,0
84,WT N-term,0,3/1/19,0,11051.31714,0,0,Thelper,0.5,0
28,WT N-term,0,3/1/19,0,11286.81909,0,0,Thelper,0.5,0
9.333333,WT N-term,0,3/1/19,0,2996.531982,0,0,Thelper,0.5,0
3.111,WT N-term,0,3/1/19,0,1815.991455,0,0,Thelper,0.5,0
1.037037,WT N-term,0,3/1/19,0,428.888672,0,0,Thelper,0.5,0
0.345679,WT N-term,0,3/1/19,0,651.45166,0,0,Thelper,0.5,0
0.115226,WT N-term,0,3/1/19,0,5.027466,0,0,Thelper,0.5,0
0.038409,WT N-term,0,3/1/19,0,87.913574,0,0,Thelper,0.5,0
0.012803,WT N-term,0,3/1/19,0,133.223389,0,0,Thelper,0.5,0
0.004268,WT N-term,0,3/1/19,0,156.045166,0,0,Thelper,0.5,0
0.001423,WT N-term,0,3/1/19,0,90.076538,0,0,Thelper,0.5,0
0.000474,WT N-term,0,3/1/19,0,0,0,0,Thelper,0.5,0
84,WT N-term,0,3/1/19,0,6494.997925,0,0,Thelper,1,0
28,WT N-term,0,3/1/19,0,4638.240112,0,0,Thelper,1,0
9.333333,WT N-term,0,3/1/19,0,2536.039184,0,0,Thelper,1,0
3.111,WT N-term,0,3/1/19,0,2205.443237,0,0,Thelper,1,0
1.037037,WT N-term,0,3/1/19,0,1009.59436,0,0,Thelper,1,0
0.345679,WT N-term,0,3/1/19,0,567.748535,0,0,Thelper,1,0
0.115226,WT N-term,0,3/1/19,0,108.296265,0,0,Thelper,1,0
0.038409,WT N-term,0,3/1/19,0,182.634766,0,0,Thelper,1,0
0.012803,WT N-term,0,3/1/19,0,121.580933,0,0,Thelper,1,0
0.004268,WT N-term,0,3/1/19,0,8.057373,0,0,Thelper,1,0
0.001423,WT N-term,0,3/1/19,0,119.900024,0,0,Thelper,1,0
0.000474,WT N-term,0,3/1/19,0,0,0,0,Thelper,1,0
84,WT N-term,0,3/1/19,0,2627.207032,0,0,Thelper,2,0
28,WT N-term,0,3/1/19,0,2409.159912,0,0,Thelper,2,0
9.333333,WT N-term,0,3/1/19,0,1342.482178,0,0,Thelper,2,0
3.111,WT N-term,0,3/1/19,0,1586.752198,0,0,Thelper,2,0
1.037037,WT N-term,0,3/1/19,0,786.046387,0,0,Thelper,2,0
0.345679,WT N-term,0,3/1/19,0,427.371094,0,0,Thelper,2,0
0.115226,WT N-term,0,3/1/19,0,0,0,0,Thelper,2,0
0.038409,WT N-term,0,3/1/19,0,134.604981,0,0,Thelper,2,0
0.012803,WT N-term,0,3/1/19,0,59.260987,0,0,Thelper,2,0
0.004268,WT N-term,0,3/1/19,0,36.290039,0,0,Thelper,2,0
0.001423,WT N-term,0,3/1/19,0,70.198975,0,0,Thelper,2,0
0.000474,WT N-term,0,3/1/19,0,50.710938,0,0,Thelper,2,0
84,WT N-term,0,3/1/19,0,7083.772217,0,0,Thelper,4,0
28,WT N-term,0,3/1/19,0,4241.525147,0,0,Thelper,4,0
9.333333,WT N-term,0,3/1/19,0,2821.668702,0,0,Thelper,4,0
3.111,WT N-term,0,3/1/19,0,2050.962647,0,0,Thelper,4,0
1.037037,WT N-term,0,3/1/19,0,1382.633057,0,0,Thelper,4,0
