Receptor,Moment,T-reg,T-helper,NK,CD8+
IL2Ra,1,3.5617837395067076,2.764256930954602,2.4373849808235764,2.720894333955009
IL2Rb,1,3.3711311209424024,3.419401308768689,3.814041397863308,3.5363194993422944
gc,1,3.836855691387861,3.7491274022282273,3.5732212630018507,3.8057393431743627
IL7Ra,1,3.539385930652547,4.335589140744107,3.540585030833638,4.304942759973665
IL15Ra,1,-6,-6,-6,-6
