Date,Ligand,alphStatCov,Dose,Time,Kurtosis,Variance,Mean,Skew,Cell,Bivalent
11/8/2019,WT N-term,832316.7324632418,0.004268,0.5,4.3109465,37784510.0,2177.8657,1.8278835,Treg,0.0
11/8/2019,WT N-term,778448.7901895602,0.001423,0.5,144.57318,143131070.0,1541.3545,10.877356,Treg,0.0
11/8/2019,WT N-term,674066.1578302942,0.000474,0.5,20.058321,36019292.0,1165.7681,3.2964113,Treg,0.0
11/8/2019,WT N-term,2288180.5434608567,84.0,4.0,7.845031,462747740.0,28000.11,1.9386417,Treg,1
11/8/2019,WT N-term,2143546.010926381,28.0,4.0,89.889915,734677500.0,26323.777,7.107465,Treg,1
11/8/2019,WT N-term,2224264.1566341775,9.333333,4.0,30.591248,331770100.0,21305.375,3.7396421,Treg,1
11/8/2019,WT N-term,1443350.2321036228,3.111,4.0,5.4038105,243004660.0,20291.613,1.4928502,Treg,1
11/8/2019,WT N-term,1384446.015256702,1.037037,4.0,3.1486502,158824130.0,16054.431,1.3661455,Treg,1
11/8/2019,WT N-term,1405722.0744134416,0.345679,4.0,1.6848445,232501740.0,20525.2,0.9890878,Treg,1
11/8/2019,WT N-term,755387.3770034795,0.115226,4.0,3.4193063,122251730.0,15108.698,0.9693668,Treg,1
11/8/2019,WT N-term,1020955.5205025821,0.038409,4.0,2.003034,208821700.0,18295.438,0.9872872,Treg,1
11/8/2019,WT N-term,59608.14894186265,0.012803,4.0,633.32996,43223413000.0,23870.719,25.141123,Treg,1
11/8/2019,WT N-term,1997515.7913738186,0.004268,4.0,7.0459194,157821840.0,10928.569,1.7582192,Treg,1
11/8/2019,WT N-term,1033201.9641444414,0.001423,4.0,2.2022686,88744660.0,5122.631,1.5311335,Treg,1
11/8/2019,WT N-term,827922.4416726399,0.000474,4.0,382.41537,1446360200.0,6091.2197,19.078934,Treg,1
11/8/2019,WT N-term,2896105.5741546466,84.0,2.0,260.25003,962240100.0,27078.34,13.422854,Treg,1
11/8/2019,WT N-term,2093834.219100513,28.0,2.0,3.8081555,303101820.0,24624.188,1.0960206,Treg,1
11/8/2019,WT N-term,963113.5036048959,9.333333,2.0,0.7368293,251414900.0,21876.703,0.6782563,Treg,1
11/8/2019,WT N-term,2295232.6943512484,3.111,2.0,11.355083,297971970.0,21414.004,1.7876925,Treg,1
11/8/2019,WT N-term,1134555.9124658953,1.037037,2.0,0.57749796,152304080.0,16736.59,0.63530195,Treg,1
11/8/2019,WT N-term,2326554.2223876193,0.345679,2.0,-0.5003724,266700600.0,21410.652,0.4349575,Treg,1
11/8/2019,WT N-term,1394537.028715451,0.115226,2.0,85.85206,235275260.0,16683.867,6.4533844,Treg,1
11/8/2019,WT N-term,2517091.9153007143,0.038409,2.0,7.809432,224409740.0,16423.445,1.6288768,Treg,1
11/8/2019,WT N-term,2518983.710152842,0.012803,2.0,5.47316,161229420.0,10901.774,1.66419,Treg,1
11/8/2019,WT N-term,1526768.757151841,0.004268,2.0,4.5827246,65551070.0,4697.994,1.7719775,Treg,1
11/8/2019,WT N-term,268799.705499776,0.001423,2.0,4.969354,24521176.0,0.0,1.9696771,Treg,1
11/8/2019,WT N-term,1204268.4227294705,0.000474,2.0,36.962494,53046150.0,44.664062,4.9355755,Treg,1
11/8/2019,WT N-term,1712730.0767338336,84.0,1.0,2.207399,336752860.0,26600.047,0.85377806,Treg,1
11/8/2019,WT N-term,1509725.6005769211,28.0,1.0,0.49519682,293242180.0,25136.043,0.5891074,Treg,1
11/8/2019,WT N-term,2162860.083563202,9.333333,1.0,1.4320393,305085200.0,24514.617,0.76389617,Treg,1
11/8/2019,WT N-term,2384969.5321903597,3.111,1.0,0.30870628,298102660.0,23057.672,0.5207381,Treg,1
11/8/2019,WT N-term,921083.4294283929,1.037037,1.0,-0.33395767,161947250.0,18135.766,0.42628023,Treg,1
11/8/2019,WT N-term,981421.8050291209,0.345679,1.0,-0.5995984,222861540.0,21527.25,0.3195962,Treg,1
11/8/2019,WT N-term,1467709.7022892237,0.115226,1.0,0.11978626,131676170.0,17159.238,0.31211784,Treg,1
11/8/2019,WT N-term,2318120.6004973617,0.038409,1.0,2.777484,204987970.0,15268.048,1.177632,Treg,1
11/8/2019,WT N-term,1799686.4082278032,0.012803,1.0,0.8623924,89480376.0,9061.436,1.0278085,Treg,1
11/8/2019,WT N-term,1601829.4605860948,0.004268,1.0,5.529357,55808776.0,4374.7373,2.0209239,Treg,1
11/8/2019,WT N-term,393798.2484618708,0.001423,1.0,5.28526,17907394.0,43.347656,1.7187041,Treg,1
11/8/2019,WT N-term,1374723.861202853,0.000474,1.0,164.56825,83828340.0,1488.6162,10.823114,Treg,1
11/8/2019,WT N-term,1830918.8675964675,84.0,0.5,1.0887504,436044860.0,32769.645,0.77701795,Treg,1
11/8/2019,WT N-term,12011341.82604732,28.0,0.5,521.445,63928790000.0,36101.797,22.807793,Treg,1
11/8/2019,WT N-term,3532251.198889723,9.333333,0.5,17.269003,448094460.0,26200.848,2.3616436,Treg,1
11/8/2019,WT N-term,2527754.440211752,3.111,0.5,0.25191903,357259870.0,28349.965,0.46708283,Treg,1
11/8/2019,WT N-term,1999721.0667880678,1.037037,0.5,-0.55451417,256625280.0,25516.785,0.10283419,Treg,1
11/8/2019,WT N-term,2599147.139765516,0.345679,0.5,391.8182,223083900000.0,50110.16,19.829882,Treg,1
11/8/2019,WT N-term,2794671.1103633004,0.115226,0.5,-0.3414948,226131220.0,18410.715,0.5804181,Treg,1
11/8/2019,WT N-term,3121259.230775877,0.038409,0.5,5.4699364,132907100.0,11049.14,1.689582,Treg,1
11/8/2019,WT N-term,1704650.9882808528,0.012803,0.5,4.098632,62303924.0,4202.5674,1.8169597,Treg,1
11/8/2019,WT N-term,813163.7729688308,0.004268,0.5,22.150791,31514392.0,1540.5767,3.3348207,Treg,1
11/8/2019,WT N-term,564546.1376550548,0.001423,0.5,3.7406216,26862248.0,1311.3555,1.7334633,Treg,1
11/8/2019,WT N-term,915441.9596357667,0.000474,0.5,9.496608,39416184.0,1572.7681,2.6172981,Treg,1
11/8/2019,WT N-term,1614281.0116532154,84.0,4.0,2.3264518,234352210.0,12856.616,1.4333622,Thelper,0
11/8/2019,WT N-term,1565836.9294119652,28.0,4.0,2.9480534,188569200.0,10439.854,1.6545023,Thelper,0
11/8/2019,WT N-term,1645310.4699331983,9.333333,4.0,4.518737,158331970.0,8246.712,2.0660803,Thelper,0
11/8/2019,WT N-term,1941029.712515065,3.111,4.0,6.43521,155880910.0,7039.04,2.461122,Thelper,0
11/8/2019,WT N-term,1811344.8017293012,1.037037,4.0,7.9674606,113913850.0,5283.01,2.6425946,Thelper,0
11/8/2019,WT N-term,1880683.161031351,0.345679,4.0,1889.6705,192374530.0,5354.1533,28.64937,Thelper,0
11/8/2019,WT N-term,1240976.087101602,0.115226,4.0,12.079623,59751770.0,3473.1292,3.1575046,Thelper,0
11/8/2019,WT N-term,609370.6430998853,0.038409,4.0,25.870451,27702744.0,1947.9939,4.419506,Thelper,0
11/8/2019,WT N-term,151011.34116676784,0.012803,4.0,73.17219,8239343.0,792.9021,6.3412366,Thelper,0
11/8/2019,WT N-term,-12315.644302829212,0.004268,4.0,4232.723,7252591.0,384.8125,49.537506,Thelper,0
11/8/2019,WT N-term,-68742.56923032392,0.001423,4.0,15.571867,1928617.1,28.31128,2.2570455,Thelper,0
11/8/2019,WT N-term,-75106.76952512558,0.000474,4.0,66.3738,2345525.8,0.0,4.467862,Thelper,0
11/8/2019,WT N-term,664836.7250358955,84.0,2.0,2.2752066,143843780.0,9300.881,1.5065286,Thelper,0
11/8/2019,WT N-term,828097.4982748129,28.0,2.0,5.0730505,124764380.0,7839.214,1.9838535,Thelper,0
11/8/2019,WT N-term,1367260.0660471972,9.333333,2.0,8.744638,89875650.0,4672.044,2.794146,Thelper,0
11/8/2019,WT N-term,1306820.4399428843,3.111,2.0,9.817186,83770620.0,4523.7646,2.9342966,Thelper,0
11/8/2019,WT N-term,744082.3080561234,1.037037,2.0,3086.5725,73524600.0,2593.8538,41.20833,Thelper,0
11/8/2019,WT N-term,248966.0724804341,0.345679,2.0,48.548584,11443040.0,1093.7549,5.4898806,Thelper,0
11/8/2019,WT N-term,56148.13774670771,0.115226,2.0,5011.906,14911082.0,367.13477,59.4255,Thelper,0
11/8/2019,WT N-term,-32396.03706283465,0.038409,2.0,52.608807,2781844.8,377.1548,4.4758673,Thelper,0
11/8/2019,WT N-term,113304.38627804056,0.012803,2.0,10840.406,494394800.0,428.1277,103.93694,Thelper,0
11/8/2019,WT N-term,-61347.424200834714,0.004268,2.0,1148.5251,3645801.8,281.23975,21.004675,Thelper,0
11/8/2019,WT N-term,-49513.30352925401,0.001423,2.0,18.75331,2288611.5,243.8186,2.645751,Thelper,0
