Date,Scale,Cell
3/15/2019,27.45300656931634,Treg
3/15/2019,10.260207666291175,Thelper
3/15/2019,0.7614919098235909,NK
3/15/2019,2.2505424589357252,CD8
3/27/2019,22.75104221008419,Treg
3/27/2019,9.29558169916117,Thelper
3/27/2019,0.4227796224266105,NK
3/27/2019,1.3379644095179752,CD8
4/18/2019,17.21186142035885,Treg
4/18/2019,7.976792912270038,Thelper
4/18/2019,0.27787219502961186,NK
4/18/2019,1.0556343747337162,CD8
4/19/2019,22.986191400873366,Treg
4/19/2019,9.43466201700677,Thelper
4/19/2019,0.2966574397093815,NK
4/19/2019,0.6894527813782916,CD8
5/2/2019,19.282580415012948,Treg
5/2/2019,6.668813778916501,Thelper
5/2/2019,0.2636700888069692,NK
5/2/2019,0.5949406144069279,CD8
11/8/2019,13.261006202327,Treg
11/8/2019,5.550303685000972,Thelper
11/8/2019,0.33315770476178325,NK
11/8/2019,0.7581230361485474,CD8
11/27/2019,7.10895624200606,Treg
11/27/2019,2.416201323955739,Thelper
11/27/2019,0.12155557606746936,NK
11/27/2019,0.3245920317177395,CD8
12/5/2019,9.120883068689432,Treg
12/5/2019,2.7257629559940697,Thelper
12/5/2019,0.2014374776333294,NK
12/5/2019,0.5696378035513886,CD8
