ForeCyt Compensation Matrix, File Version 1.0, Export On 5/3/2019, ForeCyt Version 6.2.6752, Experiment: 2019-05-02 pSTAT5 signaling muteins 060 062 088 097 extended timepoints, Analysis: Analysis 1, Plate: Plate 0003
VL4-H,VL1-H,1.7399
BL1-H,VL1-H,0.0
BL3-H,VL1-H,0.0
RL1-H,VL1-H,0.0
VL1-H,VL4-H,1.2118
BL1-H,VL4-H,0.0012
BL3-H,VL4-H,5.8560
RL1-H,VL4-H,0.1459
VL1-H,BL1-H,0.0005
VL4-H,BL1-H,0.0685
BL3-H,BL1-H,5.6901
RL1-H,BL1-H,0.0
VL1-H,BL3-H,0.0040
VL4-H,BL3-H,16.6288
BL1-H,BL3-H,0.2727
RL1-H,BL3-H,0.2350
VL1-H,RL1-H,0.0
VL4-H,RL1-H,0.0
BL1-H,RL1-H,0.0
BL3-H,RL1-H,0.0
