ForeCyt Compensation Matrix, File Version 1.0, Export On 4/24/2019, ForeCyt Version 6.2.6752, Experiment: 2019-04-23 Receptor Quant, Analysis: Analysis 1, Plate: Plate 0003
VL4-H,VL1-H,1.7733
VL6-H,VL1-H,0.0266
BL1-H,VL1-H,0.0003
BL3-H,VL1-H,0.0003
RL1-H,VL1-H,0.0424
VL1-H,VL4-H,1.1328
VL6-H,VL4-H,2.9188
BL1-H,VL4-H,0.0029
BL3-H,VL4-H,5.8106
RL1-H,VL4-H,0.2754
VL1-H,VL6-H,7.0447
VL4-H,VL6-H,1.0248
BL1-H,VL6-H,0.0513
BL3-H,VL6-H,0.0282
RL1-H,VL6-H,1.1671
VL1-H,BL1-H,0.0
VL4-H,BL1-H,0.1038
VL6-H,BL1-H,0.0093
BL3-H,BL1-H,5.8375
RL1-H,BL1-H,0.8039
VL1-H,BL3-H,0.0051
VL4-H,BL3-H,16.8133
VL6-H,BL3-H,0.2453
BL1-H,BL3-H,0.2791
RL1-H,BL3-H,0.2521
VL1-H,RL1-H,0.0
VL4-H,RL1-H,0.0742
VL6-H,RL1-H,0.2846
BL1-H,RL1-H,0.0002
BL3-H,RL1-H,0.0011
